name,stargazers_count,LOC,releases,maturity,mediana_cbo,cbo_medio,desvio_padrao_cbo,mediana_dit,dit_medio,desvio_padrao_dit,mediana_lcom,lcom_medio,desvio_padrao_lcom
hello-algo,110888,19635,9,2,2,1.87,1.5090568474899124,1,1.00,0.0,1,4.71,10.433519224981753
java-design-patterns,91035,118428,0,10,3.0,3.36,2.605407154508101,1.0,1.20,0.53300605968359,0.0,1.88,6.55381121896061
mall,79612,85643,3,6,3.0,3.93,4.963645536126673,1.0,1.24,0.4389218091763465,13.0,1110.80,8150.187983123308
spring-boot,76526,309487,303,12,4.0,5.65,6.700045170584331,1.0,1.23,0.6902571837078176,0.0,12.08,119.70406917184638
LeetCodeAnimation,75778,303,0,6,1.0,1.00,0.0,1.0,1.00,0.0,0.0,0.00,0.0
interviews,64026,22271,0,8,1,1.19,1.2511043736856933,1,1.00,0.0622568093385214,0,0.29,0.9275566004039967
Java,61144,95737,0,8,2.0,1.99,1.3983781253512477,1.0,1.05,0.2859237681882828,1.0,6.94,25.515384152270297
spring-framework,57611,1421389,328,14,3,5.24,6.851096096424756,1,1.48,1.4357669495209693,0,29.96,273.85107282869154
Stirling-PDF,54684,31641,119,2,5,7.83,7.956968982669898,1,1.32,0.6469175458641315,0,12.93,51.45916853093039
guava,50602,795285,53,10,2,4.04,5.649935399517404,1,1.80,2.255382389969182,0,47.81,446.13746800737385
RxJava,48053,474099,235,12,1,2.52,5.251875165018492,1,1.32,0.886244074243494,0,47.42,1802.7529539117238
jadx,43260,160439,30,12,3,4.43,6.622790602921011,1,1.66,1.2372424112224518,0,31.85,316.0783839758489
JeecgBoot,41974,77932,54,6,4,7.73,10.603728209484117,1,1.20,0.4629931319058913,0,64.28,353.2245731334958
dubbo,40839,455896,109,12,4.0,5.40,5.811094739572051,1.0,1.30,0.7197279373160559,1.0,47.50,444.8409167551059
termux-app,39957,44867,91,9,4,5.90,7.175591681733168,1,1.43,0.7030704736753537,0,61.01,237.53900474949347
MPAndroidChart,37875,42872,44,10,5.0,8.84,9.990268236572902,1.0,1.98,1.2285843292408267,1.0,91.03,516.9504776259091
tutorials,37101,709038,0,11,3,3.81,3.9862664963800336,1,1.12,0.4281828625792475,0,6.72,41.28800792063032
arthas,36084,78230,59,6,3.0,4.75,5.894576684493697,1.0,1.36,0.720243246281439,1.0,36.45,172.07918420614007
hello-algorithm,35527,3167,0,4,1,1.00,0.816496580927726,1,1.00,0.0,0,0.00,0.0
lottie-android,35250,26962,57,8,5,6.90,8.298798861985366,1,1.29,0.6450602234953268,0,33.39,282.67289471113565
halo,35039,105170,211,7,5.0,7.49,7.289609983788617,1.0,1.26,0.605961345614905,0.0,6.83,28.37072037145213
glide,34821,112204,47,11,4,6.01,6.4711686528705465,1,1.24,0.8061384395705461,0,19.91,157.68185460145324
netty,33903,519702,0,14,2,4.31,5.6279789334643695,1,1.52,1.189167660736163,0,67.13,1154.5103727482729
spring-boot-demo,33514,22469,0,7,4.0,5.05,3.9978477922403846,1.0,1.13,0.487957807521419,0.0,2.32,9.804643196935373
AndroidUtilCode,33503,64250,117,8,2.0,4.17,5.558097735232369,1.0,1.36,0.8349995964852566,0.0,144.95,959.7880281881208
leetcode,33374,105528,21,6,2.0,2.58,1.8659782956937092,1.0,1.01,0.07880950133074056,0.0,0.34,0.7235977819203152
NewPipe,33291,69028,135,9,5,8.34,10.347040671690902,1,1.65,1.088306639764276,1,43.85,238.64023941580137
easyexcel,33234,43190,14,7,5.0,6.63,6.087490309257676,1.0,1.38,0.8337201483197378,1.0,32.02,355.3507614466505
zxing,33169,73533,31,13,4,4.98,4.802280958880065,2,1.66,0.7725317536253367,0,22.96,130.7502667160197
selenium,31928,173299,103,12,4,5.77,7.038789383320626,1,1.38,1.036186107120483,1,32.42,279.024370353907
nacos,31015,292039,78,6,3.0,5.52,6.375309217194659,1.0,1.29,0.7016637976292636,0.0,25.69,354.8703903793545
WxJava,30769,321520,30,9,4.0,5.39,6.383437928188752,1.0,1.20,0.4347667499625584,0.0,20.76,221.01557491458502
spring-boot-examples,30408,19262,0,8,4,4.73,3.0993412595490617,1,1.03,0.15930969720700305,0,5.03,16.322849661302268
ruoyi-vue-pro,29863,248727,34,4,6,7.84,7.3468296063601315,1,1.23,0.44401425065022515,0,16.36,521.1766338842775
kafka,29724,1247660,0,13,4,7.56,13.181116318450206,1,1.42,1.0789319278528036,0,55.88,851.423500577541
hutool,29645,281989,149,10,3.0,3.60,3.922963922074075,1.0,1.28,0.7371566970422447,0.0,104.06,969.4944533055802
apollo,29385,70552,41,9,6,7.28,6.771875182698291,1,1.27,0.7082691099117585,0,14.79,53.090441188544304
canal,28914,124483,32,12,4.0,5.82,6.448523194821394,1.0,1.38,0.822426094174991,1.0,77.43,467.4068210556492
SpringAll,28680,23996,0,6,4.0,5.24,4.2717258155701705,1.0,1.11,0.3685138655950444,0.0,3.75,11.842342237872556
xxl-job,28479,14541,36,9,3.0,4.67,5.156837626575614,1.0,1.13,0.3887292965036549,0.0,20.59,98.51494121217365
spring-cloud-alibaba,28319,2056,47,7,2.5,3.69,3.8821207706618988,1.0,1.07,0.45736601695948925,0.0,3.40,10.706160940606479
